Key,Description,MSRP,Wholesale,Cost
ODS-VEI-TNA-P,Pilot Assembly with brackets and fasteners for VEI with TNA burners - Propane,101.00,50.50,52.02
O1-01,7/16-27  Orifice Spud Drill #1,7.00,3.50,3.61
O1-11,7/16-27  Orifice Spud Drill #11,7.00,3.50,3.61
O1-15,7/16-27  Orifice Spud Drill #15,7.00,3.50,3.61
O1-18,7/16-27  Orifice Spud Drill #18,7.00,3.50,3.61
O1-20,7/16-27  Orifice Spud Drill #20,7.00,3.50,3.61
O1-22,7/16-27  Orifice Spud Drill #22,7.00,3.50,3.61
O1-24,7/16-27  Orifice Spud Drill #24,7.00,3.50,3.61
O1-25,7/16-27  Orifice Spud Drill #25,7.00,3.50,3.61
O1-28,7/16-27  Orifice Spud Drill #28,7.00,3.50,3.61
O1-29,7/16-27  Orifice Spud Drill #29,7.00,3.50,3.61
O1-30,7/16-27  Orifice Spud Drill #30,7.00,3.50,3.61
O1-31,7/16-27  Orifice Spud Drill #31,7.00,3.50,3.61
O1-32,7/16-27  Orifice Spud Drill #32,7.00,3.50,3.61
O1-33,7/16-27  Orifice Spud Drill #33,7.00,3.50,3.61
O1-34,7/16-27  Orifice Spud Drill #34,7.00,3.50,3.61
O1-35,7/16-27  Orifice Spud Drill #35,7.00,3.50,3.61
O1-36,7/16-27  Orifice Spud Drill #36,7.00,3.50,3.61
O1-39,7/16-27  Orifice Spud Drill #39,7.00,3.50,3.61
O1-41,7/16-27  Orifice Spud Drill #41,7.00,3.50,3.61
O1-42,7/16-27  Orifice Spud Drill #42,7.00,3.50,3.61
O1-43,7/16-27  Orifice Spud Drill #43,7.00,3.50,3.61
O1-44,7/16-27  Orifice Spud Drill #44,7.00,3.50,3.61
O1-45,7/16-27  Orifice Spud Drill #45,7.00,3.50,3.61
O1-48,7/16-27  Orifice Spud Drill #48,7.00,3.50,3.61
O1-49,7/16-27  Orifice Spud Drill #49,7.00,3.50,3.61
O1-50,7/16-27  Orifice Spud Drill #50,7.00,3.50,3.61
O1-51,7/16-27  Orifice Spud Drill #51,7.00,3.50,3.61
O1-52,7/16-27  Orifice Spud Drill #52,7.00,3.50,3.61
O1-53,7/16-27  Orifice Spud Drill #53,7.00,3.50,3.61
O1-54,7/16-27  Orifice Spud Drill #54,7.00,3.50,3.61
O1-55,7/16-27  Orifice Spud Drill #55,7.00,3.50,3.61
O1-56,7/16-27  Orifice Spud Drill #56,7.00,3.50,3.61
O1-57,7/16-27  Orifice Spud Drill #57,7.00,3.50,3.61
O1-59,7/16-27  Orifice Spud Drill #59,7.00,3.50,3.61
O1-63,7/16-27  Orifice Spud Drill #63,7.00,3.50,3.61
O1-64,7/16-27  Orifice Spud Drill #64,7.00,3.50,3.61
O1-66,7/16-27  Orifice Spud Drill #66,7.00,3.50,3.61
O1-67,7/16-27  Orifice Spud Drill #67,7.00,3.50,3.61
O1-68,7/16-27  Orifice Spud Drill #68,7.00,3.50,3.61
O1-BLANK,7/16-27  Orifice Spud Blank,7.00,3.50,3.61
BPR3,Battery Pack/Receiver with 3-position switch for RPK3E and RMC1E,104.00,52.00,53.56
HSSTP1,Plastic Heat Shield for Battery Pack/Receiver BPR1,17.00,8.50,8.76
STEV-40SM,"Skytech Electronic, Spark-to-Pilot Gas Valve; Includes Step Motor",296.00,148.00,152.44
STEV-AC,Skytech Plug-in adaptor for A/C power supply for use with EIS-RL150 and EIS-RS150.,29.00,14.50,14.94
STEV-BPSME,Skytech Battery Back up.  Enclosed style for use with  EIS-RL150 and EIS-RS150 with Step Motor.,17.00,8.50,8.76
STEV-MOD2SM,Skytech Supreme Control Module for use with EIS-RL150 and EIS-RS150 with Step Motor.,125.00,62.50,64.38
STEV-REM,Skytech On/off high low remote control transmitter for use with EIS-RL150 and EIS-RS150.,55.00,27.50,28.33
STEV-SM,"Step Motor Only for Electronic, Spark-to-Pilot Gas Valve",110.00,55.00,56.65
STEV-WH24-1,"Skytech 12"" Wire harness for use EIS-RL150 and EIS-RS150 with step motor (8 wire)",23.00,11.50,11.85
STEV-WH24-2,"Skytech 24"" Wire harness for use EIS-RL150 and EIS-RS150 with step motor (8 wire)",23.00,11.50,11.85
STEV-WH24SM,"Skytech 24"" Wire harness for use EIS-RL150 and EIS-RS150 with Step Motor.",19.00,9.50,9.79
STEV-WS1,Skytech Wall-Mounted On/off high low remote control transmitter for use with EIS-RL150 and EIS-R...,74.00,37.00,38.11
STPLUG1,Brass Plug for Skytech valve,9.00,4.50,4.64
STR-RMD,Transmitter for Variable Flame Height Remote Control  - as used in RMC1E,151.00,75.50,77.77
STV-10,Skytech Manual Control Valve.,122.00,61.00,62.83
STV-KE2,Skytech Two inch pilot knob extension for STV-10  and STEV-40 gas valves,12.00,6.00,6.18
STV-LS,Skytech On/off Latching Solenoid for STV-10 gas valve,48.00,24.00,24.72
STV-VMD,Variable Motor Drive - as used in RMC1E,141.00,70.50,72.62
6003-10.5,"6003 LP 10.5"" Reg, Millivolt, Gas Control Valve",256.00,128.00,131.84
6003-5.0,"6003 NAT 5.0"" Reg, Millivolt, Gas Control Valve",256.00,128.00,131.84
6003S-10.5,"6003S LP 10.5"" Reg, Millivolt, Quick Dropout,  Gas Control Valve",256.00,128.00,131.84
6003S-3.5,"6003S NAT 3.5"" Reg, Millivolt, Quick Dropout, Gas Control Valve",256.00,128.00,131.84
6003S-5.0,"6003S NAT 5.0"" Reg, Millivolt, Quick Dropout, Gas Control Valve",256.00,128.00,131.84
C1V-N,"Manual Valve/Reg - C1(A,B,C), DFC1(C)-NG",177.00,88.50,91.16
C1V-P,"Manual Valve/Reg - C1(A,B,C), DFC1(C)-LP",177.00,88.50,91.16
C2V-N,"Manual Valve/Reg - C2(A,B),CR(A,B)-NG",177.00,88.50,91.16
C2V-P,"Manual Valve/Reg - C2(A,B),CR(A,B)-LP",177.00,88.50,91.16
C4V-R-N,"Dexen Millivolt Valve/Reg-C2,C3,C5(A,B)-(S,R), NG",358.00,179.00,184.37
C4V-R-P,"Dexen Millivolt Valve/Reg-C2,C3,C5-(A,B)-(S,R), LP",358.00,179.00,184.37
C5V,"Manual Valve For C3,C5 (A,B), C7",100.00,50.00,51.50
GV30-N,"Valve For C2B-T Chillbuster Thermostat models, Natural Gas",295.00,147.50,151.93
GV30-P," ***OUT OF STOCK*** Valve For C2B-T Chillbuster Thermostat models, Propane ",295.00,147.50,151.93
GV34-N,"Valve For RMC, C1-R , C7-R , C8-R- Natural Gas",418.00,209.00,215.27
GV34-P,"Valve For RMC, C1-R , C7-R , C8-R - Propane",418.00,209.00,215.27
GV34B-N,Valve For C5-R - Natural Gas,418.00,209.00,215.27
GV34B-P,Valve For C5-R - Propane,418.00,209.00,215.27
GV60-AC,Plug-in Adapter for AC Power Supply for GV60 EIS system.  6-ft long cord.,68.00,34.00,35.02
GV60-BCA,GV60 Battery Box with 4-feet long Cable,24.00,12.00,12.36
GV60-C8,GV60 8 Wire Cable 800 mm,20.00,10.00,10.30
GV60-Electrode,Electrode Assembly for VEI systems,26.00,13.00,13.39
GV60-ICA,GV60 Ignition Cable 1.3mm 900mm,11.00,5.50,5.67
GV60-N,GV60 Remote Ignition and Control System,,0.00,0.00
GV60-RCA,GV60 Interrupter Receiver Cable 800mm,20.00,10.00,10.30
GV60-RXA,GV60 Receiver,239.00,119.50,123.09
GV60-RXSYA,"GV60 SYMAX Receiver, for use with SYMAX Transmitter #GV60-TXSYA",268.00,134.00,138.02
GV60-SWA,GV60 On/Off Switch with Cable 800mm,21.00,10.50,10.82
GV60-TIA,GV60 Thermocouple Interrupter,21.00,10.50,10.82
GV60-TXA,"GV60 Remote Transmitter, Thermostat and Timer features (for vent-free)",122.00,61.00,62.83
GV60-TXB,"VEI (EIS) Remote Transmitter, with temperature and time display (for vented sets)",122.00,61.00,62.83
GV60-TXSYA,SYMAX Remote Transmitter (for use with SYMAX Receiver #GV60-RXSYA),273.00,136.50,140.60
GV60-VLP,"GV60 EIS Gas Control Valve, Propane",282.00,141.00,145.23
GV60-VNG,"GV60 EIS Gas Control Valve, Natural Gas",282.00,141.00,145.23
GV60-WMB,Wall Mounting Bracket for use with GV60 Remote Transmitter,26.00,13.00,13.39
GV60-WS1,"Wired Wall Switch for GV60, with 26-feet long wires.",150.00,75.00,77.25
V11-N,Gas Control Valve for RPK1 - Natural Gas(WR),361.00,180.50,185.92
V11-P,Gas Control Valve for RPK1 - Propane (WR),361.00,180.50,185.92
V11EHC,"Millivolt Gas Control Valve, 1"" x 1"", 720,000 BTU/hr, as used in RPK1XHC",1062.00,531.00,546.93
V11HC,"Millivolt Gas Control Valve, 3/4"" x 3/4"", 300,000 BTU/hr, as used in RPK1HC",556.00,278.00,286.34
V11Z-N,"Millivolt Dexen Valve - ANSI ""Z"" kits, Natural Gas",358.00,179.00,184.37
V11Z-P,"Millivolt Dexen Valve - ANSI ""Z"" kits, Propane",358.00,179.00,184.37
V14,"Auto Safety Manual/SPK1 - 3/8 Fip x 3/8 FIP side inlet, Long Stem (Copreci)",148.00,74.00,76.22
V14S,"Auto Safety Manual/SPK1 - 3/8 Fip x 3/8 FIP side inlet, Short Stem(Copreci)",148.00,74.00,76.22
V15,"Auto Safety Manual/SPK3 - 3/8 Fip x 3/8 FIP back inlet, Long Stem (Copreci)",148.00,74.00,76.22
V15S,"Auto Safety Manual/SPK3 - 3/8 Fip x 3/8 FIP back inlet, Short Stem (Copreci)",148.00,74.00,76.22
V16,"Manual valve, 3/8"" MIP inlet x 3/8"" flare outlet,non-latching, with short stem.  For C5 and cert...",37.00,18.50,19.06
YFV-N,YF/TR manual valve/reg - Natural Gas,222.00,111.00,114.33
YFV-P,YF/TR manual valve/reg - Propane,222.00,111.00,114.33
YFV-R-LP,"YF/TR B67 switch/remote, valve/reg - LP",287.00,143.50,147.81
YFV-R-N,"YF/TR B67 switch/remote, valve/reg - Natural Gas",287.00,143.50,147.81
A-Fender,Fender for C2A,34.00,17.00,17.51
Air Shutter,Air Shutter for Chillbuster underfed venturi burners.,6.00,3.00,3.09
AlternaVF Serial Plate,AlternaVF Serial Plate,12.00,6.00,6.18
AlternaVF Warning Plate,AlternaVF Warning Plate,12.00,6.00,6.18
Audio Cable for BPR3,"Audio Cable, 18/2 AWG, 0.14"" OD, 300 VAC - Used in EW-x lead extender for BPR3",5.00,2.50,2.58
B-Fender,Fender for C2B,37.00,18.50,19.06
CB Serial Plate,CB Serial Plate,12.00,6.00,6.18
CB Warning Plate,CB Warning Plate,12.00,6.00,6.18
COV-VV-1,"Cover, stand alone, to obscure valve on VEI and VMV Valve Vanisher assemblies",11.00,5.50,5.67
HS-ST-2,Heat Shield for ANSI EASY Valve,14.00,7.00,7.21
HS4X575,"Heat Shield, 4"" x 5.75"" 24 ga. galv. with SPK Lighting Instructions",8.00,4.00,4.12
Knob-C9 Faceplate,"Phenolic Push-Pull Knob; 10-32 thread; 1 1/2"" knob dia. x 7/8"" height x 3/8"" thread Dp.",9.00,4.50,4.64
Orifice-#70 (N) Lighter Tube,Orifice-#70 (N) Lighter Tube,15.00,7.50,7.73
Orifice-#77 (LP) Lighter Tube,Orifice-#77 (LP) Lighter Tube,15.00,7.50,7.73
PB-1,Pilot Mount Bracket for F and TNA Burners,9.00,4.50,4.64
PB-2,"Pilot Mount Bracket. 90-degree el shape, 3/4"" wide. 1 5/8"" with two 1/4"" holes x 3/4"" with one 1...",8.00,4.00,4.12
PB-3,Pilot Mount Bracket for1830-010 pilot on F-type burners,8.00,4.00,4.12
PB-AF-SS,"Pilot Mounting Bracket for American Fireglass burner, stainless steel",12.00,6.00,6.18
PB-CS,Pilot Mount Bracket for CS Burners,8.00,4.00,4.12
PB-CXF,Pilot Mount Bracket for CXF Burners,8.00,4.00,4.12
Piezo-Ignitor,1244-61 Mark 21 BB BC-H Piezo Ignitor,20.00,10.00,10.30
Piezo-PalNut,Pal Nut for Chillbuster Piezo,4.00,2.00,2.06
Piezo-Wire15,"15"" Wire for Chillbuster Piezo",15.00,7.50,7.73
Piezo-Wire20,"20"" Wire for Chillbuster Piezo",17.00,8.50,8.76
Piezo-Wire22,"22.5"" Wire for Chillbuster Piezo",19.00,9.50,9.79
Piezo-Wire4C5,"4"" Wire for Chillbuster 5 Piezo",8.00,4.00,4.12
Piezo_Nut,Piezo and Pal Nut for Chillbuster Piezo,23.00,11.50,11.85
Silicon Sleeve,Silicon Sleeve,2.00,1.00,1.03
SSC-10,"10"" stainless steel (no coating - shiny) flexible connector with 3/8 flare nuts     (1D)",20.00,10.00,10.30
SSCB-10,"10"" stainless steel (black coated) flexible connector with 3/8 flare nuts     (1D)",30.00,15.00,15.45
SSCB-12-12,"1/2"" O.D. x 12"" stainless steel flexible connector  (black coated) with 1/2"" flare nuts",43.00,21.50,22.15
SSCB-12-18,"1/2"" O.D. x 18"" stainless steel flexible connector  (black coated) with 1/2"" flare nuts",47.00,23.50,24.21
SSCB-14,"14"" stainless steel (black coated) flexible connector with 3/8 flare nuts     (1D)",37.00,18.50,19.06
SSCB-18,"18"" stainless steel (black coated) flexible connector with 3/8 flare nuts     (1D)",39.00,19.50,20.09
SSCB-18-12,"1/2"" O.D. x 18"" stainless steel flexible connector  (black coated) with 1/2"" flare nuts     (1D)",55.00,27.50,28.33
SSCB-22-1,"1"" O.D. x 22"" stainless steel flexible connector  (silver coated) with fittings",86.00,43.00,44.29
SSCB-24,"24"" stainless steel (black coated) flexible connector with 3/8 flare nuts     (1D)",42.00,21.00,21.63
SSCB-24-58,"5/8"" O.D. x 24"" stainless steel flexible connector  (black coated) with 5/8"" flare nuts    (1D)",66.00,33.00,33.99
SSCB-6,"6"" stainless steel (black coated) flexible connector with 3/8 flare nuts     (1D)",25.00,12.50,12.88
STSHIELD-1,"Heat Shield for STV-10 Skytech valve (6.25"" long)",20.00,10.00,10.30
STSHIELD-2,"Heat Shield for STV-10 Skytech valve - ANSI (9.75"" long)",22.00,11.00,11.33
Washer - Switch,"Switch Washer - 1/2"" id x 5/8"" od",2.00,1.00,1.03
YF Serial Plate,YF Serial Plate,12.00,6.00,6.18
YFB-L,Grate Mount Bracket (Left) with DC1,12.00,6.00,6.18
YFB-R,Grate Mount Bracket (Right) with DC1,12.00,6.00,6.18
B1,"Front Log for WB186 Birch, 18L x 5W x 4H Log",167.00,83.50,86.01
B10,Birch  top log with Hole - 11 X 3 X 3,59.00,29.50,30.39
B11,Birch top log - 15.5L x 4.5W x 3H - Y-Shape,70.00,35.00,36.05
B12,Birch top log - 16L x 3.5W x 3H,82.00,41.00,42.23
B2,Rear Log for WB186 - 15L x 3.5W x 4.55H,117.00,58.50,60.26
B3,Front Log for WB246 Birch - 23.75L x 4.25W x 5.25H,203.00,101.50,104.55
B4,Rear Log for WB246 - 20.5L x 3.5W x 5H,131.00,65.50,67.47
B5,Front Log for WB306 Birch - 30L x 5.25W x 5.5H,234.00,117.00,120.51
B6,Rear Log for WB306 - 26.75L x 3.5W x 4.5H,164.00,82.00,84.46
B7,Birch top log - 7.35L x 3.5W x 2H,44.00,22.00,22.66
B8,Birch top log - 10.25L x 3.5W x 1.75H,52.00,26.00,26.78
B9,Birch top log - 9 X 4.5 X 3,56.00,28.00,28.84
BD1,,0.00,0.00,0.00
BE1,Chunker - Log,25.00,12.50,12.88
BE2,Chunker - Log,25.00,12.50,12.88
BE2-HH,Chunker - Used in HH24 and HH30 (requires 2 per set),30.00,15.00,15.45
BE3,Chunker - Log,25.00,12.50,12.88
BE4,Chunker - Log,35.00,17.50,18.03
BE5,Chunker - Log,35.00,17.50,18.03
BE6,Chunker - Log,35.00,17.50,18.03
BF1,17.5 x 6 x 5 BF189 front log,119.00,59.50,61.29
BF2,21 x 9 x 6 BF2411 front log,143.00,71.50,73.65
BF3,26 x 9 x 5 BF3011 Front Log,166.00,83.00,85.49
C10,13 X 4 X 3 LOG,54.00,27.00,27.81
C11,Y-Shape top log used in ECB24 and ECB30 (drilled),55.00,27.50,28.33
C12,Top Log,52.00,26.00,26.78
C13,Top log,39.00,19.50,20.09
C13-DRILLED,Top log used in HG18 and HG24. Drilled hole in underside.,39.00,19.50,20.09
C15,"Y-Shape top log used in HG18, HG24, HG30, ECB18 (drilled)",49.00,24.50,25.24
CAL-1,Cut-away Log - use as a sales sample to show reinforcing and color options.,27.00,13.50,13.91
CH1,Chunk - Used in CKPT,21.00,10.50,10.82
CH2,Chunk - Used in CKPT,21.00,10.50,10.82
CH3,Chunk - Used in CKPT,21.00,10.50,10.82
CH3A,Chunk - Used in HH18 (requires 2 per set),21.00,10.50,10.82
COAL-1,"Individual ""Coal"" piece.  Approx. 2""l x 2"" w x 1.5""h",10.00,5.00,5.15
COAL-A,"""Coal"" pieces for C9A (2-4 piece and 1-3 piece)",94.00,47.00,48.41
COAL-B,"""Coal"" pieces for C9B (2-5 piece and 1-4 piece)",119.00,59.50,61.29
D10,"Hooked Bark/Split Top Log, 13.5 x 3 x 3.5",52.00,26.00,26.78
D11,"Bark/Split Top Log, slight hook, 15 x 4 x 4",65.00,32.50,33.48
D12,"Hooked Bark/Split Top Log, 17.5 x 3 x 3",71.00,35.50,36.57
D13,16.5 x 3.5 x 3.5 Bark/Split Top Log,63.00,31.50,32.45
D14,Top Log,40.00,20.00,20.60
D20,"16.5"" long log, bark/split",96.00,48.00,49.44
D3,"24"" ED Left front log",98.00,49.00,50.47
D4,"24"" ED Right front log",98.00,49.00,50.47
D5,"30"" ED Left front log, 14.5 x 4 x 5",113.00,56.50,58.20
D6,"30"" ED Right front log, 14.5 x 5 x 5.5",113.00,56.50,58.20
D7,10 x 3.5 x 2.25 Bark/Split top log,42.00,21.00,21.63
D8,Top Log,41.00,20.50,21.12
D9,11 X 3.5 X 2.75 Bark/Split top log,42.00,21.00,21.63
E1,,54.00,27.00,27.81
E10,28.5 x 3.55 x 5.5 Log - Rear Log used in PR369,87.00,43.50,44.81
E12,11 x 4.5 x 2 Log,21.00,10.50,10.82
E13,6 X 4 X 2 Top Log,25.00,12.50,12.88
E14,6.5 X 3 X 2.5 Log,21.00,10.50,10.82
E15,11.5 x 5 x 2.5 Log,33.00,16.50,17.00
E16,10.5 x 4.5 x 3 Log,35.00,17.50,18.03
E18,7.75 x 3 x 3 Top Log,27.00,13.50,13.91
E19,14 x 6 x 3 Log,52.00,26.00,26.78
E2,,54.00,27.00,27.81
E20,13 x 6 x 3.5 Y-shape Log,40.00,20.00,20.60
E21,11 x 3 x 2.75 Log,27.00,13.50,13.91
E22,18 x 5.5 x 3 log,40.00,20.00,20.60
E23,11 X 6 X 3 Log,41.00,20.50,21.12
E25,,27.00,13.50,13.91
E27,,27.00,13.50,13.91
E3,16 x 5.5 x 4 (LS 15 front log),70.00,35.00,36.05
E31,"Y Top Log with Hole, 13 x 5.5 x 3",40.00,20.00,20.60
E32,"Y Top Log with Hole, 11.5 x 6.5 x 3 Log",45.00,22.50,23.18
E33,17.5 x 4 x 4.5 Log (LS18 front log),73.00,36.50,37.60
E34,24 x 4.5 x 4.5 Log (LS24 front log),80.00,40.00,41.20
E35,29.5 x 5 x 4 Log (LS30 front log),94.00,47.00,48.41
E36,21 x 4.5 x 4.5 Log (LS21 front log),78.00,39.00,40.17
E4,,54.00,27.00,27.81
E40,"Rear Log for 18"" sets",63.00,31.50,32.45
E41,"Rear Charred Log for 18"" sets",68.00,34.00,35.02
E42,Left front log ELS20,63.00,31.50,32.45
E43,Right front log ELS20,63.00,31.50,32.45
E44,"Left front log ELS24 - 11.75"" w x 4"" d x 5"" h",72.00,36.00,37.08
E45,"Right front log ELS24 - 11.75"" w x 4"" d x 5"" h",72.00,36.00,37.08
E46,Left front log ELS30,85.00,42.50,43.78
E47,Right front log ELS30,85.00,42.50,43.78
E5,,65.00,32.50,33.48
E6,,59.00,29.50,30.39
E7,,75.00,37.50,38.63
E8,22.5 x 4 x 5 Log (EO246 front log),56.00,28.00,28.84
E9,21 x 3 x 4.5 rear log,49.00,24.50,25.24
EP2,"Frontmost small log used in HR18, HR24, HR30, HB18, HB24, and HB30",35.00,17.50,18.03
ET2,,54.00,27.00,27.81
F1,18.5 x 6.5 x 5.5 log,97.00,48.50,49.96
F10,16 x 5 x 4 Log,59.00,29.50,30.39
F11,19.5 x 7 x 3.5 Log,71.00,35.50,36.57
F2,21 x 7 x 6 Frosted Oak Log,149.00,74.50,76.74
F3,23.5 x 7 x 6 Frosted Oak Log (Front Log S246),213.00,106.50,109.70
F4,27 x 7 x 5 Frosted Oak Log,220.00,110.00,113.30
F5,29.5 x 7 x 5 Frosted Oak Log,225.00,112.50,115.88
F6,32 x 7 x 6 Log,286.00,143.00,147.29
F7,38 x 8 x 6 Log,396.00,198.00,203.94
F8,10 x 2.5 x 3 Log,40.00,20.00,20.60
F9,12 x 4 x 3.5 top log,45.00,22.50,23.18
H1,Front Log for HF24,34.00,17.00,17.51
H10,Left Middle Log for HF30 set,43.00,21.50,22.15
H11,Right Middle Log for HF18 Set,37.00,18.50,19.06
H12,Log from HF30 set,27.00,13.50,13.91
H13,Individual Log from HF sets,33.00,16.50,17.00
H14,Log for HF18 log set,32.00,16.00,16.48
H15,Right Top Log for HF30 Set,27.00,13.50,13.91
H19,,27.00,13.50,13.91
H2,Left Middle Log for HF24 Set,39.00,19.50,20.09
H21,Front log for HG18,104.00,52.00,53.56
H21A,Front log for HH18 set,104.00,52.00,53.56
H22,Front log for HG24,107.00,53.50,55.11
